prompt,completion
I feel ghastly and I'm really hoping it's just a post-birthday slump. Back to full research mode tomorrow either way.,"anticipation
disgust
fear
optimism
sadness"
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me #frightened,"fear
pessimism"
I'm so nervous,fear
@Zak_Atif two congressional hearings in USA stopped financial aid to Pak and asked it to prove that it is doing enough to stop terrorism 1n,fear
My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,"fear
sadness"
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,"joy
optimism"
"@paraplyene @soupper i just read it and it's so fun??!!!! So lighthearted and cheerful, i was right, it's a double cavity for me.","joy
love
optimism"
A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. ,"anger
disgust"
Candice's standing pout face aggravates me every week,"anger
disgust"
Research has determined 70% of #laughter is actually #anxiety.,fear
When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger
@lizbon @anomalily @gerikkransky Sorry for the levity if at all inappropriate but this combined with my love of Charlotte reminds me rn...,love
"@annafifield @washingtonpost all hands on deck at the post and in the msm as trump starts to lead in oh, fla, NC, NV, CO. #panic","fear
pessimism"
"@komaebun He just has that way of thinking, he wants absolute hope born from absolute despair.","disgust
sadness"
That goes the #alarm,
Our soldiers in war zones are held to a higher level of rules of engagement than our police officers. #sad,"disgust
pessimism
sadness"
"What do Aquila, Ajahnae, and Euriechsa have in common besides ridiculously stupid,horrible,ugly, God awful names? Tracey IS NOT their father","anger
disgust
pessimism
sadness"
"@bumbleb33tuna door and cleared his throat, trying to dispel any nervousness he had left.",optimism
"“Optimism may sometimes be delusional, but pessimism is always delusional.” —Alan Cohen #believe",optimism
@JuliaHB1 Bloody right #fume,"anger
disgust"
Do not grow weary of doing good' a lasting legacy @billclinton @ClintonGlobal #CGI2016 #thankfulmoment @ProjectThankful,"joy
optimism"
The ecosystem is meant to break thru the wall of #apprehension. It's easy to follow a fave music star &amp; watch their goings on–but #dentists?,"anticipation
fear
optimism
surprise"
"Oii oiii, @Louis_Tomlinson !!  \nTHANK YOU for always making me smile ! MY BIRTHDAY is in 16 days. 🎉 Mind following me as a gift ? 🎁 X225,884","joy
love
optimism"
I highly suggest if you are looking online for a company to help you send you're package overseas..DO NOT EVER EVER USE @FastLaneInt #horrid,"anger
disgust
fear"
"Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL","anger
disgust
pessimism
sadness"
"@WalshFreedom sadly, that idiot completely overlooks the facts . He had a gun pointed at police. Are they that stupid?That should be ignored","anger
disgust
sadness"
"Fear blocks blessings, faith unlocks them. #ManUp #fear #faith","fear
joy
optimism
trust"
Get to work and there's a fire drill. #fire #burning #outthere #inthedark,
"Being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type A part of me is fuming","anger
pessimism
sadness"
Well i did hear once before that girls are attracted to men that look like their dad!  👌 #serious,"anticipation
surprise"
Boys Dm me pictures of your cocks! The best one will get uploaded! ☺️💦💦 #Cumtribute #dm #snap #snapchat #snapme #nudes #dickpic #cocktribute,"anticipation
joy
surprise"
"From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. ","anger
disgust
sadness"
“Winners are not afraid of losing. But losers are. Failure is part of the process of success. People who avoid failure also avoid success.',"fear
optimism
trust"
Why would Enrique sub off busquet? ,
He's seriously so frustrating sometimes! (╯°□°）╯︵ ┻━┻ #ugh #raging,"anger
disgust
sadness"
“The immense importance of football is sometimes scary. When you don’t win you are responsible for so many unhappy people.” - Arsene Wenger,"pessimism
sadness"
and apparently he's supposed to have a Scottish accent??? I'm ,"disgust
pessimism"
"Only God knows why things happen, sometimes it's just hard to understand.  #prayingforyou","optimism
sadness"
@cassidyyy_0 literally Nicole already had her chance and she played shitty both seasons. #bitter,"anger
disgust"
@BigDaddyx47 awe I'm sorry! I have 2 dogs 3 cats &amp; a snake,"disgust
joy
sadness"
@OpentheDoorRadi thanks for playing Crock Pot Going #radio #blog #blues #music #indiemusic,"joy
love"
#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress ,"joy
optimism"
@mikebairdMP @AndrewConstance @nswtaxi how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated,"anger
disgust
sadness"
@Groupon_UK who do I contact about a shocking experience with Clear Sky Holidays booked through you guys?? #customerservicefail #dreadful,"anger
disgust"
Stuck in a infuriate scrum about hegemonists.  #scrum #scrum #Stuck,"anger
disgust"
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',"anger
sadness"
I can't mourn Kid Cudi cause we have Travis Scott...,sadness
@DSWT I despair at this madness! It's beyond #shocking it's cold blooded murder!  How long will #SouthAfrica stand by &amp;watch #WorldRhinoDay,"anger
disgust
sadness
surprise"
"@eileen_davidson on RHOBH, you just do not want to assume an affair while you were married so you criticize @LisaVanderpump! #awful","anger
disgust"
Trying to make a #better_world is #depressing when it's a #failure -__-,"anger
pessimism
sadness"
"@TenPercent @emmajtracey @MetroUK not at all surprised unf, getting partially sighted Mum &amp; pushchair on trains a nightmare #ignorantpublic","anger
disgust
fear
sadness"
@bradshawjp Sweet! #optimism,"joy
love
optimism"
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,anticipation
Rap that will Cut other raper's throat. Who said that? @Paedeezy #badd #wicked. #bright city lights,"anger
disgust
sadness"
@BokuNoGio AND his momma was worse than Tony sopranos momma #wow  #history #major,"anger
disgust
surprise"
Didn't concede yet but having a nightmare at the back #MUFC,fear
My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!! ,"optimism
pessimism
sadness"
"@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer","anger
disgust"
@lindseylouwho_ be nice if the Texans could hold onto the ball to give fuller and Hopkins a chance!!!  #TNF,
"Pops are joyless, soulless toys which look nearly identical.  They are the perfect expression of consumerism.  'I enjoy this franchise'","joy
love"
@AOLUK @JamesHayr @TheDrum Anychance of addressing the communication I sent to you yesterday??? I still haven't had any contact #shocking,"anger
disgust
pessimism
surprise"
Looking nice forward to playing at Paper Dress Vintage in Hackney this evening - get there early as I'll be on at 8pm! @paperdressed #blues,"anticipation
joy
optimism"
Thiza!!! What happens now when you tell him you're pregnant via home test &amp; nurse later tells you it's a false alarm &amp; BaE is too excited🙊,"anticipation
disgust
fear
sadness"
MY CAR IS DENTED FROM THE HAIL sad,"pessimism
sadness"
Most people never achieve their goals because they are afraid to fail.,"fear
pessimism
sadness"
Seeing huge or really full  backpacks on people fills me with anxiety,"fear
pessimism"
#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter!  #cleverpeople,"anger
disgust
joy"
@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! ,anger
"@Sirenja_ @JaxOfBo (like, hope i didn't offend with my commentary - it wasn't what I was intending!)",sadness
@cassidyyy_0 literally Nicole already had her chance and she played shitty both seasons. ,"disgust
sadness"
I miss doing nothing someone I care about and attacking their face with kisses. #foreveralone #bitter 😩,"pessimism
sadness"
"@MoviesTVNetwork Wow, did you get a really good buy on a bunch of '70's movies? There were bad then and are worse now! ","anger
disgust
sadness"
A hearty Jonza! to all my friends and follower.,"joy
love
optimism"
The boys rejoice as badger corner has been reclaimed for our first social of the year #cluboftheyear,joy
"@deadlyjokester *she let out a playful gasp and slowly wrapped her arms around his neck, kissing him back*","joy
love
optimism"
People who cheer for sports teams completely outside of New Jersey or PA piss me off,"anger
disgust"
Accept the challenges so that you can feel the exhilaration of victory. -George S. Patton,"joy
optimism"
"@esanderc @MrsFridayNext It is very specific areas only. I care like 0% about clothes, much to my mother's dismay.","disgust
sadness"
Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!,"anger
disgust"
"When your body says FUCK YOU BITCH, You ain't sleeping\n #sleep #cantsleep #drained ","anger
disgust
pessimism
sadness"
"@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.","anger
disgust"
Recording some more #FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream 😂  #suchagirl,"joy
love"
"Dying is a very dull, dreary affair. And my advice to you is to have nothing whatever to do with it. ― W. Somerset Maughm","optimism
sadness"
"#happiness #recipe: an open mind, #laughter, a kind #heart &amp; #optimism","anticipation
joy
optimism
trust"
Skydive booked 😁😁 #nervous 🛩,fear
"@NFYFC @Wilkster_ hmm, don't know many yf  who are short on confidence! Wish I'd been one, ","anticipation
sadness"
"Just Laying Here, Can't Sleep 4 Some Reason ","disgust
fear
sadness"
"What we think, we become. -Buddha #recovery #addiction #sober #sobriety","joy
optimism
trust"
"@MalYoung @AngelicaMcD I hope to now see some levity, light, romance and happiness come Stitch and Abby's way after such a long hard road.","anticipation
joy
optimism"
Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right ,"anger
disgust
trust"
"Be strong &amp; courageous. Do not be terrified or discouraged, for the LORD your God will be with you wherever you go.","fear
joy
optimism
trust"
Heyyyy warriors!!!!! #anxiety #panicattacks,"fear
sadness"
@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything,"anger
pessimism"
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,"anger
sadness"
@UnknownAndYoung — a low growl escaping him. Oh oh.,"disgust
fear"
TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot,"joy
optimism"
Just had #efficient #great #smiling service @AppleBelgique store. Impressive team of geniuses ready to redefine what customer service is!,joy
@MetsProspectHub @brianpmangan taking offense to acount...he ranks 32 of 36 over last 2 years by SABR,anger
Cuz even the bible talks about the son coming back with a fiery sword he got from his mother. They just called her a whore in revelations,"anger
disgust"
Gonna be a loooooong year as a Browns fan. Longer than normal and that's ,joy
Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ #smile,"joy
love
optimism"
Lisa: Getting what you want all the time will ultimately leave you unfulfilled and joyless.,sadness
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/  #annoyed,"anger
disgust
fear
sadness"
"@WTFISaHashtag1 @MuslimIQ The problem is that right wing extremist terror groups aren't given coverage, press not interested","anger
disgust
sadness"
Bojack Horseman: the saddest show ever written?? #depression #season1,"disgust
fear
pessimism
sadness"
It's a Moving Day! #stress #panic #hope,"anticipation
fear"
Bon on allume madden,
@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. ,"anger
disgust
sadness"
shy glizzy - ride 4 u🎧,"joy
optimism"
"The more videos @PanicAtTheDisco  post, the more i am convinced i might should not have done that #fear #Brendonati","fear
pessimism"
"—but he just can't. He feels tired but also restless. So here he now, scrolling his own music player, playing some music through his—","disgust
pessimism
sadness"
"Arguing with these people doesn't work anyway, they just threaten to put you in death camps.","anger
disgust
fear"
@RossKemp Omg that is just horrific. Something needs to be done. 😢,"disgust
fear
pessimism
sadness"
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder","anger
disgust
fear
sadness"
"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage","anger
disgust
sadness"
Connie's fuming at Bake Off and went 'fuck this I'm starting on the vodka',"anger
disgust
sadness"
@debutemma I dont have to sit here and take this from u spry young children,"anger
disgust"
Synth backing tracks = sadness\n#depresspop #dark #+++ #alt #fuckingmeup,"pessimism
sadness"
@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks,"anger
disgust
sadness"
"Indian time it's already ur birthday @akshaymarwah22. Have a stupendous birthday. Wish you more success, laughter and lots of love. Hugs. x","joy
love"
Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate #awful,"anger
disgust"
someone come to fright world w me🤗🤗,"anticipation
fear"
Love your new show @driverminnie ,"joy
love"
Jeans with fake pockets ,"anger
disgust"
"Romero, Rojo, Blind, Memphis, Rooney. This is nearly a starting line up I’d wanna punch in the face rather than shake their hand.","anger
disgust"
@talkRobyn oh dear I have to watch this the woman with the pout did well,"anger
joy"
Ugh I want to punch a wall every time I have to use @windows 10. Literally the worst product ever made #windows10 #awful #killme,"anger
disgust"
The irony and hilarity of making Taylor Lautner super cold all the time is not lost on me. God I missed this show 😂#ScreamQueens,"joy
sadness"
"@JohnWildy71 something, too confused to type an entire word 😜 See, I can laugh again. My hour of sadness has almost passed","joy
optimism"
Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,"anger
disgust
optimism"
"@Miami4Trump Yeah, but bad part is the #terrorism #terror Muslims won't be the ones leaving #ObamaLegacy #nationalsecurity #disaster #Obama","anger
disgust
fear"
"@m_t_f_72 I'm not surprised, I would be fuming! 😤","anger
disgust"
@tomsteinfort expected i thought ,joy
I'm just doing what u should b doing just minding my business and grinding relentless @LITO615,"anger
disgust"
"Virtually every statement by other countries at UN has referred to #terror as main threat to peace, #Pak still in denial: MEA.","disgust
fear"
"When ya'll talkin about you know who I don't know who ya'll talkin bout, I'm on the new shit....chuckin up ma deuces......🔥🔥 #kanye ","anger
disgust"
#Success awaits on the other side of your #fear &amp; that's only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting,"fear
joy
optimism"
After this news I'm supposed to be so damn happy and rejoicing but I'm here like 😩😔😭😞,"disgust
joy
pessimism
sadness"
Today's alarm shows how unprepared professors and students are when it comes to emergency protocols. We don't know where to go @CalStateLA,"anger
disgust"
It's not going to break you it's just going to shake you,anticipation
@Cory_Bonini AP didn't have a productive week 1 or 1st half against GB and Kalil is horrible! @Vikings D is its strongest asset currently.,"anger
disgust
fear"
The Car' (1977)\nA middle of the road #horror film that in the hands of a better filmmaker could've been a hell of a lot better. 5/10,"disgust
fear"
"@___margs @juliana_f_reyes Hey Michael! Thanks for following up, yeah I think you'd be a terrific contrib. Looping in assoc ed Juliana","joy
love
optimism
trust"
it's sad when you talk to someone about ya past n how it fucked you up and then they do the same thing like people really don't have hearts,"anger
pessimism
sadness"
@_BlueCouture The hilarity of you people not realising that racism is racism regardless of whether one uses choice words is hilarious.,"anger
disgust"
"@Just_Alasia I agree. Btw, have u seen Ep22, Granger, O?  That was the episode when I knew Anna was coming back, the conversation at start.","anticipation
optimism
surprise"
3 Styles to Love now at Zales!  Three sparkling styles to love! Stop by and shop in store today.,joy
I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,"anger
disgust"
Had a conversion with a random fellow passenger on a #melbourne @metrotrains yesterday evening #astounded #youwouldntreadaboutit,"anticipation
surprise"
Guy across from me in a really ugly suit cannot stop expressing his displeasure,"anger
disgust
sadness"
@headfirst_dom I often imagine hoe our moon would feel meeting the jovial moons which are all special,"optimism
surprise"
@NandosSA just received order from @OrderInSA &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal #notcool ,"anger
disgust
sadness"
My mind always seems to work its best at night ,"joy
optimism"
@KimLy resent,
watching my first Cage of Death and my word this is tremendous,"joy
love"
@KseniaSolo hi little late to lost girl but think you awesome from South Afrikaans:-),"joy
love
optimism"
Watch this amazing live.ly broadcast by @footballrocks123456 #lively #musically,"joy
love
optimism"
"Come here, let me do whatever I do with it. #dismal",sadness
Panpiper playing Big River outside The Bridges in SR1 #outrage,anger
"Dark, dense, and exhilarating come the finale, #HellOrHighWater is a gripping watch.","anticipation
joy
surprise"
"@SwiftShimada SPARKLES, proud little huff. Still posing mind you.","anticipation
optimism
trust"
im so mad about power rangers. im incensed. im furious.,"anger
disgust"
"BibleMotivate: Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfu…","anticipation
optimism
trust"
@xxnogard_G88 Welcome to the  dark honey !,
It's always over.. until I'm no longer sober... then it feels like I wana start over #UL,"disgust
optimism
sadness"
@jordan_grimmer If that's messin I can't wait to see #serious !! Brilliant stuff,"joy
optimism"
not only was that the worst @EGX that's I've attended but worth one of the worst cons I've been to in the last 5 years #terrible,"anger
disgust"
@Alex_Philip2648 it's a step up from boiling broccoli tbh,"anticipation
optimism"
I'm excited for the #FirstDayofFall &amp; the rest of the season. I have 2 #Halloween #scare events I'm covering for @ThrillzCo in the next week,"anticipation
joy"
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward ","disgust
fear
pessimism"
 ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,"anger
anticipation
disgust
fear
sadness"
@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting,"anger
anticipation"
need to sta dating again.I m bored #redheadteen #boldandbeautiful #lost #500aday single men dating Schkeuditz,"anticipation
pessimism
sadness"
@MHChat I think sadness is felt very strongly physically and mentally.  It feels like it takes over and it's hard to focus at work #MHChat,"pessimism
sadness"
"So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav ","pessimism
sadness"
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger
@Mattwinton1 Your foot is frowning.,"anger
pessimism
sadness"
@MariamVeiszadeh why sick. I am rejoicing that it is only half,"joy
optimism"
"Wee cunts playing chappy in my street, got my shoes on so I can chase and scare the fuck out of them","anger
disgust
fear"
jasperino - buoyant - Session.Six,
♪OLD FISH ,
"On my way rejoicing, to the pulpit @ Park City Baptist Church, Surrey BC. for Midweek Service.","joy
optimism"
@FacMagnaAmerica  #CureForInsomnia And the left said WE were all doom &amp; gloom. The Trump Train is so much more fun!,joy
just waggled my eyebrows up and down at the baby and she burst out laughing i love her haha,"joy
love
optimism"
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,"anger
disgust"
"#Question of the #day: what are some of your #nervous #habits? (biting fingernails, tapping your foot, clenching your teeth...)",fear
Some questions you get on Twitter make you want to despair. We've been so battered. We complain but aren't convinced things could be better.,"disgust
sadness"
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder","anger
disgust"
Life's too short to be frowning for so long,"anger
optimism
sadness"
"Better mood today! Bring me #teasing, #flirting, #xdressers, #laughter, and #roleplayers! Also #confessions and #secrets @underdeskloser","joy
optimism"
#Violence doesn't fix violence. #pain and #anger are the same reaction in the brain. Cure the pain and the anger will go away.,"anger
optimism"
#food  #деньги #smile   microsoft_.net_framework_4.5.1_full_plus_by_gora,"anticipation
joy
optimism"
@kaijinboyfriend --while being animated much more recently technology-wise which makes for a very nice combination/look),"joy
optimism"
"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.","anger
disgust"
Caballero's passing remains absolutely dreadful I see!,"anger
disgust
fear
sadness"
Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 ,"anger
anticipation
fear
pessimism"
I have another test tonight #nervous,"fear
pessimism"
@jadelalaa_ hahaha and u da best bro ever luv u hearty hearts,"joy
love
optimism"
@Conorojo Loool understand the pessimism but it will 😂,pessimism
HartRamsey'sUPLIFT If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source.Look to the LORD!,"anticipation
optimism
trust"
Why is it always me picking up the pieces :/ #angry,"anger
disgust
sadness"
Can we go back 2 weeks and start again ?? This is seriously dreadful,sadness
@WDWNT #spooky night at #disney #fortwilderness campground #disneyworld #powerfailure #dark,"anger
disgust
fear
pessimism
sadness"
I wish harry would start tweeting people again,"sadness
trust"
I can be so shy but once I come out of my shell that's it 😂,"joy
optimism"
What a #lively #lovely #shower 😇 ..,"joy
optimism
trust"
Not setting an alarm to nap &gt;&gt;,
Gen 8:21 NIV—The Lord smelled the pleasing aroma and said in his heart: “Never again will I… lifelong depravity,pessimism
A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,"anger
disgust"
When you get to a point as an officer that you are in fear for your life you sir need to change professions,fear
Inadequacy slithers from her ears and wraps itself around her neck like the boys she wants to love her. #mpy #vss #quote #depression #poetry,pessimism
@breadf2man @SunApology and it's Kelvin Mackenzie tomorrow... #shudder DontBuyTheSun,fear
will i ever get the nerve to quit the restaurant ??? find out tonite on glee!,"anticipation
fear
joy
sadness"
@yonahimes they never posted stuff like this?????\ni mean i was able to scroll over it so it wasnt a big deal but it was #shocking,"anger
disgust
fear
sadness
surprise"
And im not even going to get into how its discriminatory to several religions which mandate its followers to let their hair dread.,"anger
disgust
fear"
Hey NASCAR fans. Are you going to the race in Loudon this weekend?  Why not stop by New Day Diner for a great hearty breakfast before you go,"anticipation
joy
optimism"
The word happiness would lose its meaning if it were not balanced by sadness.,"anticipation
joy
optimism
sadness"
The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing 🙄🙄,"anger
sadness"
So fucking mad my blood boiling.,anger
@wiIdfuI we have the same age and you're 1000 times more beautiful than me! #sad 😂,"pessimism
sadness"
@laura221b I don't think I've ever moved so fast in a panic in all my life 😂 Gave me such a fright 😓,fear
People that smoke cigarettes irritate my soul.,"anger
disgust"
Being playful as shit😤,"anger
disgust"
Mou is too jovial and trying to impress those players too much. No player is bigger than manutd. SAF won't tolerate all this bs @ManUtd,"anger
disgust"
Will BYU's offense score 24+ vs WVU?,"anticipation
surprise"
@MiSSLiNDZO no. 😭 the last two we were out-bidded. So we got kinda discouraged so now we are taking our sweet time. The market is stupid tho,"anger
disgust
sadness"
My back is starting to irritate me and it's barely 2:19 😓,"anger
disgust
sadness"
@BlairWitchMovie love new movie\n #BlairWitch #blairwitchproject  #HorrorMovies,"fear
joy
love
optimism"
"@DatelineNBC this is a sight, sound &amp; smell to behold in person--still gives me the creeps to think about. ","fear
pessimism"
@LonelyGoomba UK cops have an issue fearing intervention. Hence situations like Rotherham. So of course it'll be dwarfed by US cops.,"anticipation
fear"
"them cold, dark nights are slowly creeping in 🌌","anger
anticipation
disgust
fear
sadness"
Remember when Joe and Quinn had a thing on glee,
"We have all been there, and wished we didn't. 25 #hilarious #AutoCorrect Fails",joy
@Dolla_DeLotta They wanna bully the Inhuman.,"anger
disgust"
Way towards be prominent if your exasperate is peaked?: TGMbNqUEe,"anger
disgust"
".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you #shocking","anger
disgust
fear
surprise"
We're all in D. T. (Discipleship training or detox) for something. #messy #fearful #cutoff #choosefreedom #CryOut16,fear
My ukulele bag has fallen apart.  WELLL AT LEAST my life hasn't yet!! #Joys\n\n#quote  #problemsolving #behappy,"joy
optimism"
"#Quoteoftheday\r\r'If you don't do #wild things while you're young, you'll have nothing to #smile about when you're old.'\r\r#dailyquote #quotes","joy
optimism"
@WYSdaily I'm confident they will NEVER experience our successes of last 50yrs. Best they can hope for is to be another Bournemouth #sad,"disgust
sadness"
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, #awful! #GOPATS","anger
disgust
joy"
Vals always smiling I love it #gbbo,"joy
love
optimism"
The new lock sound is grim,"anger
disgust
joy"
In need of a serious nap rn,"anticipation
pessimism"
I've said it before and I'll say it again: It's God! All God! Only God!  #archippusawakening #entirelybyhisgrace,"joy
love
optimism
trust"
"Especially when it comes to voicing a displeasure, if you can't tell me straight up then hold your peace ✌️️","anger
disgust"
@HillaryClinton #Hypocritical considering the #MiLLiONS of dollars you and @billclinton took from #horrible people and spent on yourselves.,"anger
disgust"
@FullTimeDEVILS Memphis looking bright. Rojo looking like Rojo.,"joy
optimism"
@quiettcricket can you maybe break it down into smaller bits? or space it out so it doesnt seem to daunting?,"anger
disgust
fear"
@SenatorReid @HillaryClinton @DanEggenWPost @realDonaldTrump Even the painting is orange!  #Election2016,"joy
optimism"
@chelseahandler I don't think your a girls girl #fraud  #celebeffer,"anger
disgust"
Forgiving means operating with God's spirit &amp; God isn't unforgiving &amp; doesn't hold a grudge. So who am I? Exactly.,"anticipation
joy
optimism"
Worst juror ever? Michelle. You were Nicole's biggest threat.  #bb18,"anger
disgust
fear"
@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger
@markoheight @Cassie_OB we sound like vampires saying we wanna sink our teeth into the TT lads and their talents 😂😂😂😂😂😂,"joy
sadness"
Jimmy Carr makes me want to cry and cry *shiver* #awful,"disgust
optimism
pessimism
sadness"
Our soldiers in war zones are held to a higher level of rules of engagement than our police officers. ,"sadness
trust"
It's really alarming when an adult male calls their father 'daddy',"anticipation
disgust
fear"
@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,"anger
disgust"
You don't know how to love me when you're sober #sober #selenagomez #revival,sadness
Hey @AppleSupport - how do I find my play history on new #ios10 #appleMusic #music #lost,sadness
I mourn. ha..r / ambe was ruined. what was once an ongoing shitpost about Tony's crimes was hijacked by not so vaguely racist memers,"anger
disgust
pessimism
sadness"
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,"anger
disgust"
Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott,"anger
fear
sadness"
"Really planned on making videos this week. Then. A tv died, phone broke, truck died, #depression took over. I'm wondering what I did 2 karma",sadness
Don't let the behavior of others destroy ur inner peace.' -Dalai Lama @OWNTV #healing #depression  #intuition #meditation #book,"optimism
sadness"
me taking a picture by myself: *awkward smile*\nme on picture day: *awkward smile*\nconclusion: stop smiling ;'(\n#pictureday2016 #smile #ornot,"disgust
joy"
"@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.","joy
optimism"
"The radio just told me Lady GaGa is going country, which is like if the Beatles decided to do opera singing for their final albums ","disgust
joy"
It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! ' #sad #ourworld,"pessimism
sadness"
Dates in the glove box' is pure panic excuse #GBBO,"anticipation
disgust
fear
sadness"
"Forgiveness might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge.","anger
disgust
optimism"
#Talking about our #Problems is our greatest #Addiction#Break the #habitTalk about ur #Joys#quote #optimism #problemsolving #behappy,"joy
optimism"
"Happy Birthday to my favorite author, @StephenKing  #writer #author","joy
love
optimism
trust"
"So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav #offended","anger
sadness"
One more step in long work #visa process is over. Relief. Onto next step. #expat #restless,"anticipation
fear
joy
optimism"
jamming out to fury in math class wanting to die hbu,"anger
disgust"
"As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse @modestmouseband","joy
optimism
sadness"
@BluesfestByron second artist announcement looking good #bluesfest2017 #blues #Music #byronbay,"joy
optimism"
@MaureenKamash that's a good question. I really don't know. I am slowly losing my optimism,"optimism
pessimism
sadness"
@yoshi_lucky Good morning.Let's start with a smile!\nLet's enjoy life in a cheerful way!\nDon't worry be happy!,"joy
optimism"
😳The intensity that @sydneyswans play at is extraordinary #relentless #AFLCatsSwans #AFLFinals 🏉👏🏿,"joy
optimism"
"#Pakistan is ‘terrorist state’, carries out #war crimes: #India to @UN.\n#UNGA #terrorism #UN","anger
disgust
fear"
"No, just tweet pictures of four fictional characters who describe you. One should be an animated character. @sunshinessp411",
@gmbremer is his shoulder a legit concern? 'Expects to play' isn't reassuring 2 games into the season after having shoulder problems.,"anticipation
pessimism
sadness
surprise"
Bill Clinton: 'Do not grow weary of doing good.' @ClintonGlobal #CGI2016,"joy
optimism"
